v_drive [km/h]	stg	PKW	LNF	LKW	LSZ	RB	SB	MR-2T	MR-4T	KKR	Free
65	6	-0.015378523	-0.015163337	-0.001057296	0	-0.000495064	0	-0.018585531	-0.018585531	0	0
65	10	-0.007920828	-0.008204365	0	0	0	0	0	0	0	0
65	15	-0.002994987	-0.003194534	0	0	0	0	0	0	0	0
65	20	-0.001208528	-0.000284551	0	0	0	0	0	0	0	0
70	-20	-1.580856748	-1.522830991	-1.656594496	-1.805121863	-1.741689872	-1.600539041	-0.868252228	-0.868252228	-0.4906463	0
70	-15	-1.090128707	-1.03541575	-1.167586142	-1.316000614	-1.252674649	-1.135040042	-0.463188477	-0.463188477	-0.148380648	0
70	-10	-0.607561524	-0.557846309	-0.678922687	-0.827091806	-0.763977944	-0.670815916	-0.206433761	-0.206433761	-0.069612265	0
70	-6	-0.259209138	-0.225313857	-0.292167364	-0.437689443	-0.375740887	-0.306981459	-0.110004539	-0.110004539	-0.039437281	0
70	-4	-0.134347059	-0.119023138	-0.115731047	-0.247182776	-0.189056087	-0.150337089	-0.082126149	-0.082126149	-0.029057096	0
70	-2	-0.072278144	-0.066816579	-0.026420555	-0.080892794	-0.046836333	-0.061381521	-0.060795176	-0.060795176	-0.015873161	0
70	0	-0.041616144	-0.039441875	-0.008967405	-0.017768538	-0.012704379	-0.03477167	-0.046007538	-0.046007538	0	0
70	2	-0.025442282	-0.025079603	-0.003834007	-0.00533068	-0.00482637	-0.023079026	-0.034518162	-0.034518162	0	0
70	4	-0.017112381	-0.016734069	-0.001848324	0	-0.001591529	0	-0.026889899	-0.026889899	0	0
70	6	-0.011740489	-0.011480396	-0.000654722	0	-0.00027996	0	-0.018392237	-0.018392237	0	0
70	10	-0.005607738	-0.006316299	0	0	0	0	0	0	0	0
70	15	-0.001795971	-0.001771607	0	0	0	0	0	0	0	0
70	20	-0.00061205	0	0	0	0	0	0	0	0	0
75	-20	-1.572864374	-1.501353108	-1.648684513	-1.804417298	-1.742552567	-1.61012334	-0.798433909	-0.798433909	-0.412015283	0
